name_cn,name_en,type,grapes,favor,age,market_price,price,score,click,factory,location
傲山风笛园酿酒师精选梅洛干红葡萄酒,"Pride Mountain Wind Whistle Vineyard Vintner's Select Merlot, Napa County, USA",红葡萄酒,梅洛,生涩 清瘦 咸香味的 醇厚,2000,-1,-1,《葡萄酒爱好者》:0.91,1163,傲山酒庄,美国-纳帕谷
提琴镇酒庄普里米蒂沃干红葡萄酒,"Fiddletown Cellars Primitivo, Sierra Foothills, USA",红葡萄酒,普里米蒂沃,黑果 黑胡椒 香草,2012,-1,-1,,608,提琴镇酒庄,美国-塞拉丘陵
千岛马格特干红葡萄酒,"Thousand Islands Winery Marquette, New York, USA",红葡萄酒,马格特,,-1,330,-1,,1189,千岛酒庄,美国-纽约州
美诗丽致酒庄珍藏白葡萄酒,"Michel Lynch Reserve Blanc, Graves, France",白葡萄酒,"长相思
赛美蓉",金银花 柠檬皮 白桃,2016,-1,-1,《葡萄酒爱好者》:0.88,3998,美诗丽致酒庄,法国-格拉夫
路西安僧侣科尔登特级园红葡萄酒,"Lucien Le Moine Corton Grand Cru, Cote de Beaune, France",红葡萄酒,黑皮诺 100%,,2007,1890,-1,,944,路西安僧侣酒庄,法国-伯恩丘
路易•斯迪普哈格尔雷司令干白葡萄酒,"Louis Sipp Riesling Hagel, Alsace, France",白葡萄酒,雷司令,,2009,280,-1,,1374,路易•斯迪普酒庄,法国-阿尔萨斯
乔治·维格鲁皮戈孟图马尔贝克干红葡萄酒,"Georges Vigouroux Pigmentum Malbec, Cahors, France",红葡萄酒,马尔贝克 100%,黑樱桃 黑莓 黑醋栗,2016,-1,-1,"《葡萄酒评论》:0.65
酒窖追踪:0.8
《葡萄酒爱好者》:0.84
酒窖追踪:0.87
《葡萄酒爱好者》:0.86",6016,乔治·维格鲁酒业公司,法国-卡奥尔
宝林酒堡钙质霞多丽干白葡萄酒,"Clos du Bois Calcaire Chardonnay, Russian River Valley, USA",白葡萄酒,霞多丽,,2011,510,-1,"酒窖追踪:0.89
《葡萄酒爱好者》:0.92
《葡萄酒爱好者》:0.92
《葡萄酒爱好者》:0.88
《葡萄酒爱好者》:0.88",1124,宝林酒庄,美国-索诺玛县
卡斯德布兰奇特级半干香槟起泡酒,"Castellblanch Grand Cremant Semiseco, Penedes, Spain",起泡酒,"马家婆
沙雷洛
帕雷亚达",,-1,-1,-1,,1452,卡斯德布兰奇酒庄,-西班牙
阿塔穆拉酒庄内比奥罗干红葡萄酒,"Altamura Nebbiolo, Napa Valley, USA",红葡萄酒,内比奥罗,,2005,-1,-1,,1323,阿塔穆拉酒庄,美国-加利福尼亚州
